District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
MORRISVILLE EATON,MADISON,578,100.0%,100.0%,0,0,5.4%,100.0%,31,578,547,0,93.8%,0.4%,2.3%,0.7%,0.0%,2.8%
HONEOYE,ONTARIO,578,95.5%,100.0%,26,0,3.5%,100.0%,20,578,532,0,97.4%,0.2%,1.2%,0.2%,0.2%,0.9%
ALFRED ALMOND,ALLEGANY,574,99.8%,100.0%,1,0,0.5%,100.0%,3,574,570,0,90.1%,0.2%,3.3%,4.0%,0.0%,2.4%
LAKE PLACID,ESSEX,571,97.0%,91.6%,17,57,1.4%,76.0%,8,515,546,106,93.8%,1.6%,0.9%,0.9%,0.0%,2.9%
ORISKANY,ONEIDA,565,98.6%,100.0%,8,0,4.1%,100.0%,24,565,549,0,93.1%,0.4%,3.2%,0.7%,0.2%,2.5%
GENESEE VALLEY CSD,ALLEGANY,565,80.2%,100.0%,112,0,0.2%,100.0%,1,565,452,0,93.9%,2.3%,1.3%,0.6%,1.5%,0.4%
HEUVELTON,SAINT LAWRENCE,555,100.0%,97.7%,0,13,7.0%,95.3%,39,529,516,13,96.8%,1.0%,1.3%,0.0%,0.0%,1.0%
NORTH COLLINS,ERIE,540,71.0%,100.0%,221,0,4.7%,76.1%,36,540,504,170,90.0%,0.5%,5.1%,0.7%,2.2%,1.5%
NEW YORK MILLS,ONEIDA,537,98.9%,52.5%,6,256,0.6%,51.4%,3,277,528,6,89.2%,3.4%,3.2%,1.9%,0.2%,2.2%
SALEM,WASHINGTON,536,83.6%,93.7%,83,34,0.0%,28.9%,0,157,422,352,95.6%,0.4%,3.7%,0.0%,0.2%,0.2%
CINCINNATUS,CORTLAND,535,89.9%,76.6%,54,125,3.2%,63.6%,17,340,464,70,97.6%,0.4%,1.3%,0.0%,0.0%,0.7%
MCGRAW,CORTLAND,531,74.0%,100.0%,138,0,0.0%,59.9%,0,318,393,213,96.1%,0.2%,1.3%,0.2%,0.0%,2.2%
MOUNT MORRIS,LIVINGSTON,525,100.0%,94.5%,0,57,2.9%,49.0%,15,505,510,468,69.0%,2.3%,26.4%,1.0%,0.0%,1.3%
GERMANTOWN,COLUMBIA,524,100.0%,100.0%,0,0,2.5%,100.0%,13,524,511,0,85.1%,1.0%,8.1%,1.0%,0.0%,4.8%
CHATEAUGAY,FRANKLIN,524,50.0%,96.6%,262,18,0.0%,96.6%,0,506,262,0,99.2%,0.2%,0.4%,0.2%,0.0%,0.0%
COPENHAGEN,LEWIS,520,81.5%,91.6%,86,36,1.1%,56.7%,5,242,375,149,93.8%,0.9%,3.0%,0.2%,0.0%,2.2%
BROCTON,CHAUTAUQUA,518,100.0%,100.0%,0,0,7.3%,96.9%,38,502,480,16,79.3%,0.6%,15.5%,0.2%,0.6%,3.8%
LA FARGEVILLE,JEFFERSON,496,84.9%,100.0%,75,0,0.0%,100.0%,0,496,421,0,92.9%,0.6%,2.4%,0.4%,0.0%,3.7%
BELLEVILLE-HENDERS,JEFFERSON,493,100.0%,73.0%,0,133,8.5%,71.4%,42,352,451,8,93.1%,0.2%,3.5%,0.8%,0.0%,2.4%
POLAND,HERKIMER,491,100.0%,100.0%,0,0,2.2%,100.0%,11,491,481,0,94.1%,0.0%,2.7%,0.2%,0.2%,2.9%
AFTON,CHENANGO,481,94.6%,89.8%,26,49,0.0%,88.1%,0,424,457,8,90.4%,3.7%,3.3%,0.6%,0.0%,1.9%
GREENBRG-NO CASTLE,WESTCHESTER,477,99.0%,100.0%,5,0,1.3%,76.0%,6,368,466,116,20.2%,34.9%,39.5%,2.8%,0.7%,1.8%
ARKPORT,STEUBEN,477,100.0%,100.0%,0,0,0.0%,100.0%,0,267,477,0,92.6%,0.2%,4.8%,1.3%,0.7%,0.4%
NORTH WARREN,WARREN,474,86.5%,93.7%,64,30,0.4%,91.4%,2,433,408,11,92.2%,0.2%,3.4%,0.4%,0.0%,3.8%
ELDRED,SULLIVAN,471,96.0%,100.0%,19,0,0.2%,100.0%,1,471,451,0,85.9%,1.3%,9.2%,0.6%,0.4%,2.6%
PINE VALLEY,CHAUTAUQUA,471,64.3%,100.0%,168,0,0.9%,96.9%,4,471,298,15,91.0%,0.4%,4.5%,0.0%,1.1%,3.0%
DEPOSIT,DELAWARE,469,100.0%,100.0%,0,0,4.9%,100.0%,23,469,446,0,93.6%,3.2%,2.3%,0.0%,0.2%,0.6%
MADISON,MADISON,463,99.8%,100.0%,1,0,11.7%,100.0%,54,463,408,0,98.0%,1.1%,0.9%,0.0%,0.0%,0.0%
ROMULUS,SENECA,447,100.0%,99.8%,0,1,9.6%,99.6%,43,446,403,1,92.0%,0.0%,3.5%,0.0%,0.0%,4.5%
ARGYLE,WASHINGTON,446,91.0%,100.0%,40,0,5.2%,100.0%,23,446,383,0,94.0%,0.7%,2.7%,0.7%,0.0%,2.0%
PANAMA,CHAUTAUQUA,443,90.2%,100.0%,44,0,1.6%,76.0%,7,636,399,201,93.3%,0.0%,3.0%,0.2%,0.2%,3.2%
GREENWOOD LAKE,ORANGE,442,100.0%,100.0%,0,0,0.5%,100.0%,2,442,440,0,63.4%,2.5%,27.1%,3.4%,0.7%,2.9%
BOQUET VALLEY CSD,ESSEX,441,96.8%,97.5%,14,11,2.7%,43.3%,12,194,414,243,97.7%,0.5%,0.2%,0.5%,0.0%,1.1%
REMSEN,ONEIDA,438,90.4%,49.3%,42,222,1.4%,49.3%,6,216,391,0,97.0%,0.0%,1.6%,0.0%,0.0%,1.4%
STOCKBRIDGE VALLEY,MADISON,434,100.0%,96.5%,0,15,5.9%,96.5%,25,419,399,0,93.5%,0.0%,2.1%,0.0%,1.3%,3.1%
HERMON-DEKALB,SAINT LAWRENCE,433,89.1%,100.0%,47,0,4.2%,100.0%,18,433,368,0,95.7%,2.4%,1.4%,0.0%,0.0%,0.5%
CHAZY,CLINTON,428,100.0%,86.4%,0,58,3.0%,86.4%,13,370,415,0,95.4%,2.4%,0.7%,1.2%,0.0%,0.2%
FORESTVILLE,CHAUTAUQUA,421,80.0%,86.7%,84,56,0.0%,86.7%,0,365,337,0,85.4%,0.7%,7.4%,0.2%,0.5%,5.7%
NORTHVILLE,FULTON,420,95.2%,100.0%,20,0,0.2%,81.4%,1,342,398,78,91.6%,1.0%,3.1%,1.0%,0.0%,3.4%
CHERRY VLY-SPRGFLD,OTSEGO,417,85.0%,99.1%,57,4,7.9%,96.7%,30,409,293,10,94.9%,0.5%,1.2%,0.0%,0.0%,3.4%
FORT EDWARD,WASHINGTON,404,99.0%,100.0%,4,0,2.5%,99.0%,10,400,390,4,90.9%,0.7%,4.2%,0.0%,0.0%,4.2%
RICHFIELD SPRINGS CSD,OTSEGO,403,91.8%,100.0%,35,0,13.1%,100.0%,56,403,337,0,94.6%,1.2%,3.2%,0.0%,0.0%,1.0%
HARTFORD,WASHINGTON,402,96.5%,76.6%,14,94,11.2%,56.2%,45,226,343,82,95.5%,0.5%,1.8%,0.3%,0.0%,2.0%
ELBA,GENESEE,401,94.0%,100.0%,24,0,3.0%,100.0%,12,401,365,0,80.6%,0.7%,16.2%,0.0%,0.7%,1.7%
SACKETS HARBOR,JEFFERSON,397,100.0%,100.0%,0,0,1.3%,100.0%,5,397,392,0,87.0%,1.0%,8.9%,0.8%,0.3%,2.0%
NEW LEBANON,COLUMBIA,395,92.3%,60.9%,31,156,0.0%,8.5%,0,34,370,209,92.6%,1.3%,2.5%,0.0%,0.0%,3.6%
LYNCOURT,ONONDAGA,391,100.0%,100.0%,0,0,2.3%,62.6%,9,391,382,234,50.6%,13.8%,10.0%,18.2%,1.8%,5.6%
HAMMONDSPORT,STEUBEN,389,98.5%,100.0%,6,0,3.1%,100.0%,12,389,371,0,94.3%,0.3%,1.5%,0.0%,0.0%,3.9%
EAST QUOGUE,SUFFOLK,384,100.0%,100.0%,0,0,0.0%,100.0%,0,384,384,0,64.3%,0.8%,31.8%,0.5%,0.0%,2.6%
CHARLOTTE VALLEY,DELAWARE,378,100.0%,89.8%,0,38,3.2%,73.2%,12,273,366,62,91.8%,0.5%,5.2%,0.0%,0.0%,2.6%
JASPER-TRPSBRG,STEUBEN,377,91.0%,100.0%,34,0,0.0%,94.2%,0,355,343,22,98.6%,0.0%,0.0%,0.3%,0.8%,0.3%
COLTON PIERREPONT,SAINT LAWRENCE,377,85.4%,100.0%,55,0,2.7%,100.0%,10,377,312,0,99.7%,0.0%,0.0%,0.3%,0.0%,0.0%
HINSDALE,CATTARAUGUS,375,90.6%,100.0%,36,0,7.6%,100.0%,29,375,317,0,93.1%,0.8%,1.6%,0.8%,0.0%,3.7%
CLYMER,CHAUTAUQUA,374,99.2%,100.0%,3,0,0.0%,100.0%,0,361,371,0,92.7%,1.0%,2.4%,0.8%,0.0%,3.1%
WYNANTSKILL,RENSSELAER,369,100.0%,100.0%,0,0,0.0%,100.0%,0,369,369,0,89.5%,1.1%,1.6%,2.2%,0.0%,5.7%
AVOCA,STEUBEN,366,84.2%,100.0%,58,0,4.1%,100.0%,15,366,293,0,92.9%,0.8%,2.5%,0.0%,0.3%,3.6%
PARISHVL HOPKINTON,SAINT LAWRENCE,362,99.7%,100.0%,1,0,1.7%,100.0%,6,323,356,0,98.6%,0.0%,0.0%,0.3%,1.1%,0.0%
PRATTSBURGH,STEUBEN,360,95.8%,100.0%,15,0,0.0%,100.0%,0,360,345,0,92.8%,1.7%,0.6%,0.6%,0.0%,4.5%
MILFORD,OTSEGO,358,90.9%,100.0%,36,0,9.1%,100.0%,36,358,322,0,93.9%,1.4%,1.7%,0.9%,0.0%,2.0%
HUNTER TANNERSVL,GREENE,357,100.0%,96.9%,0,11,1.1%,52.4%,4,187,353,159,81.0%,0.6%,13.0%,2.3%,0.0%,3.1%
DERUYTER,MADISON,342,89.5%,100.0%,36,0,1.5%,100.0%,5,342,301,0,92.6%,1.5%,3.5%,0.0%,0.0%,2.4%
EDMESTON,OTSEGO,342,94.7%,95.3%,18,16,0.0%,67.5%,0,231,324,95,94.7%,0.9%,1.8%,1.8%,0.0%,0.9%
POCANTICO HILLS,WESTCHESTER,338,100.0%,100.0%,0,0,0.0%,100.0%,0,338,338,0,40.5%,10.7%,25.9%,15.9%,0.3%,6.8%
BELFAST,ALLEGANY,336,41.4%,100.0%,197,0,2.4%,95.5%,8,321,131,15,96.7%,0.6%,0.9%,0.0%,0.0%,1.8%
MONTAUK,SUFFOLK,331,100.0%,100.0%,0,0,0.0%,100.0%,0,207,331,0,67.4%,2.1%,25.7%,0.9%,0.0%,3.9%
LYME,JEFFERSON,331,100.0%,100.0%,0,0,4.2%,100.0%,14,331,318,0,91.9%,2.7%,3.3%,0.6%,0.0%,1.5%
WORCESTER,OTSEGO,331,96.0%,100.0%,14,0,14.3%,85.2%,50,264,285,46,96.1%,0.6%,3.2%,0.0%,0.0%,0.0%
MORRISTOWN,SAINT LAWRENCE,330,95.8%,98.8%,14,4,2.1%,94.5%,7,312,309,14,95.4%,0.0%,3.1%,0.0%,0.0%,1.5%
MARGARETVILLE,DELAWARE,328,100.0%,98.2%,0,6,0.0%,98.2%,0,322,328,0,70.4%,0.6%,24.5%,1.8%,0.3%,2.4%
CROWN POINT,ESSEX,321,93.5%,89.4%,21,36,0.0%,12.1%,0,41,300,262,99.1%,0.0%,0.0%,0.9%,0.0%,0.0%
GLBTSVLLE-MT UPTON,OTSEGO,315,98.4%,100.0%,5,0,0.0%,100.0%,0,315,310,0,96.1%,0.3%,1.0%,0.0%,0.0%,2.6%
MORRIS,OTSEGO,311,99.4%,94.8%,2,16,6.4%,75.2%,20,233,289,61,92.9%,0.3%,2.3%,2.3%,0.0%,2.3%
HANCOCK,DELAWARE,307,99.7%,100.0%,1,0,3.9%,100.0%,12,307,294,0,91.3%,2.3%,5.2%,1.0%,0.3%,0.0%
MENANDS,ALBANY,306,100.0%,100.0%,0,0,4.2%,100.0%,13,306,293,0,22.3%,35.5%,7.1%,29.4%,0.6%,5.2%
SOUTH KORTRIGHT,DELAWARE,304,92.4%,59.9%,23,122,0.0%,0.0%,0,0,281,182,96.1%,1.3%,1.6%,0.3%,0.0%,0.6%
WINDHAM ASHLAND,GREENE,303,96.4%,100.0%,11,0,0.0%,54.1%,0,164,292,139,83.4%,1.0%,6.0%,3.0%,0.0%,6.6%
JOHNSBURG,WARREN,303,95.7%,100.0%,13,0,0.0%,100.0%,0,303,290,0,97.4%,0.7%,0.7%,0.7%,0.0%,0.7%
GRGETWN-SO OTSELIC,CHENANGO,302,85.4%,100.0%,44,0,0.0%,95.4%,0,288,258,14,97.7%,0.0%,2.0%,0.3%,0.0%,0.0%
LAURENS,OTSEGO,295,72.5%,89.8%,81,28,0.0%,13.1%,0,36,214,211,90.6%,2.4%,6.6%,0.3%,0.0%,0.0%
GILBOA CONESVILLE,SCHOHARIE,293,39.1%,89.1%,14,32,39.1%,48.5%,9,142,0,119,96.3%,1.4%,1.0%,1.0%,0.0%,0.3%
FRIENDSHIP,ALLEGANY,291,95.5%,100.0%,13,0,1.7%,99.3%,5,289,273,2,89.4%,0.4%,2.8%,0.0%,0.0%,7.4%
TUCKAHOE COMMON,SUFFOLK,288,100.0%,100.0%,0,0,0.0%,100.0%,0,288,288,0,25.6%,3.5%,57.4%,2.1%,6.6%,4.8%
SCHENEVUS,OTSEGO,287,97.8%,96.3%,6,11,18.1%,92.6%,50,276,220,11,95.1%,2.1%,1.0%,0.0%,0.0%,1.7%
SCIO,ALLEGANY,283,61.5%,100.0%,109,0,0.0%,100.0%,0,283,174,0,96.2%,0.9%,0.9%,0.0%,0.3%,1.6%
STAMFORD,DELAWARE,276,97.1%,100.0%,8,0,0.7%,100.0%,2,276,266,0,90.8%,3.2%,4.0%,0.8%,0.4%,0.8%
CLIFTON FINE,SAINT LAWRENCE,266,100.0%,99.6%,0,1,3.0%,99.3%,8,266,258,1,93.3%,1.1%,1.5%,1.9%,0.0%,2.2%
ROXBURY,DELAWARE,261,67.0%,100.0%,86,0,0.0%,100.0%,0,261,175,0,93.6%,1.6%,2.8%,0.0%,0.0%,2.0%
TOWN OF WEBB,HERKIMER,257,92.2%,95.5%,20,12,0.0%,73.6%,0,195,237,58,95.7%,1.2%,1.2%,0.8%,0.4%,0.8%
ANDOVER,ALLEGANY,255,89.0%,100.0%,28,0,0.0%,100.0%,0,255,227,0,96.9%,0.4%,0.4%,0.8%,0.0%,1.6%
ST REGIS FALLS,FRANKLIN,254,52.0%,61.5%,122,182,3.9%,46.3%,10,219,122,72,93.3%,0.4%,1.2%,0.0%,2.0%,3.1%
MT PLEASANT-COTTAG,WESTCHESTER,250,100.0%,100.0%,0,0,100.0%,100.0%,250,250,0,0,8.5%,57.8%,28.0%,0.9%,0.0%,4.7%
HAWTHORNE KNOLLS,WESTCHESTER,250,98.4%,92.0%,4,20,0.0%,92.0%,0,230,246,0,11.5%,38.5%,47.0%,2.0%,0.0%,1.0%
GREEN ISLAND,ALBANY,249,100.0%,94.4%,0,14,0.4%,94.4%,1,237,248,0,79.7%,8.7%,2.1%,0.0%,0.0%,9.5%
WILLSBORO,ESSEX,247,47.5%,100.0%,31,0,8.5%,82.4%,5,173,23,37,91.8%,0.0%,2.4%,0.0%,0.0%,5.7%
SHELTER ISLAND,SUFFOLK,239,100.0%,100.0%,0,0,0.0%,100.0%,0,239,239,0,67.8%,2.3%,24.3%,0.9%,0.9%,3.7%
HAMMOND,SAINT LAWRENCE,239,100.0%,100.0%,0,0,21.8%,85.2%,52,184,187,32,97.9%,0.4%,0.0%,0.0%,0.0%,1.7%
TUXEDO,ORANGE,237,100.0%,100.0%,0,0,0.0%,100.0%,0,237,237,0,59.9%,8.9%,25.7%,3.8%,0.0%,1.7%
ROSCOE,SULLIVAN,236,87.3%,79.2%,30,49,0.4%,64.8%,1,153,205,34,85.5%,1.3%,12.3%,0.0%,0.9%,0.0%
DOWNSVILLE,DELAWARE,235,100.0%,100.0%,0,0,5.5%,100.0%,13,235,222,0,91.1%,2.5%,4.6%,0.4%,0.0%,1.3%
FRANKLIN,DELAWARE,231,100.0%,66.4%,0,78,4.3%,0.4%,10,1,221,153,91.1%,3.0%,3.8%,0.4%,0.4%,1.3%
SHARON SPRINGS,SCHOHARIE,230,73.5%,53.9%,61,106,23.9%,53.9%,55,124,114,0,92.4%,0.0%,4.4%,1.3%,0.0%,1.8%
BRADFORD,SCHUYLER,229,100.0%,100.0%,0,0,25.8%,93.0%,59,213,170,16,98.3%,0.0%,1.3%,0.0%,0.0%,0.4%
BRIDGEHAMPTON,SUFFOLK,218,98.2%,100.0%,4,0,3.1%,50.0%,7,218,214,218,24.4%,17.4%,51.6%,0.5%,0.0%,6.1%
SCHROON LAKE,ESSEX,210,92.9%,100.0%,15,0,0.0%,93.3%,0,196,195,14,98.0%,0.0%,1.5%,0.5%,0.0%,0.0%
BROOKFIELD,MADISON,204,96.7%,100.0%,7,0,3.3%,100.0%,7,204,197,0,99.0%,0.0%,0.5%,0.0%,0.0%,0.5%
GREENBURGH-GRAHAM,WESTCHESTER,200,76.0%,100.0%,48,0,30.0%,62.5%,60,125,92,75,20.0%,52.3%,23.1%,1.5%,0.0%,3.1%
GARRISON,PUTNAM,198,100.0%,100.0%,0,0,0.0%,68.2%,0,135,198,63,72.1%,2.0%,16.8%,2.5%,0.0%,6.6%
CANASERAGA,ALLEGANY,196,65.4%,100.0%,72,0,0.0%,100.0%,0,196,136,0,93.4%,0.0%,6.1%,0.5%,0.0%,0.0%
WEST VALLEY,CATTARAUGUS,196,80.6%,100.0%,38,0,4.1%,100.0%,8,196,150,0,94.9%,0.0%,2.0%,0.0%,0.5%,2.5%
JEFFERSON,SCHOHARIE,193,78.5%,63.4%,42,71,0.0%,28.4%,0,55,153,68,95.5%,0.0%,1.7%,0.0%,0.0%,2.8%
KIRYAS JOEL,ORANGE,188,11.2%,4.8%,167,179,1.1%,2.7%,2,5,19,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BOLTON,WARREN,181,93.9%,100.0%,11,0,0.0%,100.0%,0,181,170,0,92.3%,2.2%,2.7%,2.7%,0.0%,0.0%
RANDOLPH ACAD UFSD,CATTARAUGUS,174,100.0%,60.9%,0,68,3.4%,29.9%,6,52,168,54,68.4%,6.5%,8.4%,1.9%,5.2%,9.7%
VAN HORNSVILLE,HERKIMER,171,39.8%,98.2%,103,3,5.8%,97.7%,10,167,58,1,97.0%,0.0%,2.4%,0.0%,0.0%,0.6%
WHITESVILLE,ALLEGANY,170,88.1%,92.4%,20,13,0.0%,92.4%,0,157,148,0,95.8%,0.0%,4.2%,0.0%,0.0%,0.0%
GEORGE JR REPUBLIC,TOMPKINS,162,14.8%,3.7%,138,156,0.0%,0.6%,0,1,24,5,66.0%,21.4%,8.8%,0.0%,1.9%,1.9%
KEENE,ESSEX,157,100.0%,100.0%,0,0,0.0%,100.0%,0,152,157,0,90.4%,1.3%,4.5%,0.6%,1.3%,1.9%
GLENS FALLS COM,WARREN,152,97.4%,100.0%,4,0,0.0%,100.0%,0,152,148,0,77.6%,1.3%,7.2%,0.7%,0.0%,13.2%
GREENBURGH 11,WESTCHESTER,149,96.8%,100.0%,5,0,3.2%,96.6%,5,144,144,5,6.6%,44.7%,47.4%,0.0%,0.0%,1.3%
REMSENBURG,SUFFOLK,149,100.0%,100.0%,0,0,0.0%,100.0%,0,149,149,0,73.3%,0.7%,16.7%,1.3%,0.0%,8.0%
WELLS,HAMILTON,148,100.0%,100.0%,0,0,1.4%,100.0%,2,148,146,0,97.9%,1.4%,0.7%,0.0%,0.0%,0.0%
RIPLEY,CHAUTAUQUA,144,100.0%,79.2%,0,30,11.1%,79.2%,16,114,128,0,93.0%,2.8%,4.2%,0.0%,0.0%,0.0%
AMAGANSETT,SUFFOLK,132,100.0%,100.0%,0,0,50.4%,100.0%,132,132,130,0,77.4%,0.8%,18.8%,3.0%,0.0%,0.0%
QUOGUE,SUFFOLK,123,100.0%,100.0%,0,0,0.0%,100.0%,0,123,123,0,81.7%,0.0%,13.3%,3.3%,0.0%,1.7%
WYOMING,WYOMING,123,91.8%,100.0%,10,0,0.0%,100.0%,0,12,112,0,99.2%,0.0%,0.0%,0.0%,0.8%,0.0%
MT PLSNT-BLYTHEDLE,WESTCHESTER,121,100.0%,100.0%,0,0,0.0%,11.5%,0,14,121,108,32.1%,22.4%,41.8%,3.7%,0.0%,0.0%
WHEELERVILLE,FULTON,117,97.4%,100.0%,3,0,0.9%,100.0%,1,117,113,0,96.6%,0.0%,0.9%,1.7%,0.0%,0.9%
MINERVA,ESSEX,113,95.6%,100.0%,5,0,0.0%,58.9%,0,113,108,79,95.6%,0.0%,3.5%,0.0%,0.0%,0.9%
INDIAN LAKE,HAMILTON,111,85.6%,100.0%,16,0,0.0%,84.7%,0,94,95,17,96.3%,0.9%,0.9%,0.0%,0.0%,1.9%
LITTLE FLOWER,SUFFOLK,108,100.0%,1.8%,0,108,0.0%,1.8%,0,2,108,0,46.9%,28.1%,22.9%,0.0%,0.0%,2.1%
OYSTERPONDS,SUFFOLK,94,100.0%,100.0%,0,0,0.0%,100.0%,0,94,94,0,70.1%,0.9%,20.6%,0.9%,0.0%,7.5%
LAKE PLEASANT,HAMILTON,80,100.0%,100.0%,0,0,0.0%,100.0%,0,80,80,0,97.5%,0.0%,0.0%,0.0%,0.0%,2.5%
NEWCOMB,ESSEX,74,100.0%,100.0%,0,0,0.0%,100.0%,0,74,74,0,93.2%,1.4%,2.7%,2.7%,0.0%,0.0%
LONG LAKE,HAMILTON,68,100.0%,100.0%,0,0,0.0%,100.0%,0,68,68,0,88.1%,3.0%,6.0%,0.0%,0.0%,3.0%
FISHERS ISLAND,SUFFOLK,67,100.0%,92.5%,0,5,0.0%,73.1%,0,49,67,13,85.1%,4.5%,3.0%,0.0%,0.0%,7.5%
ANDES,DELAWARE,61,100.0%,100.0%,0,0,0.0%,100.0%,0,61,61,0,95.1%,1.6%,3.3%,0.0%,0.0%,0.0%
PUTNAM,WASHINGTON,59,43.7%,81.6%,58,18,43.7%,60.2%,45,59,0,21,94.7%,0.0%,5.3%,0.0%,0.0%,0.0%
EDINBURG COMMON SD,SARATOGA,59,100.0%,100.0%,0,0,0.0%,74.6%,0,44,59,15,96.7%,0.0%,1.7%,0.0%,0.0%,1.7%
FIRE ISLAND,SUFFOLK,47,100.0%,100.0%,0,0,0.0%,100.0%,0,47,47,0,76.6%,4.3%,10.6%,4.3%,0.0%,4.3%
WAINSCOTT,SUFFOLK,26,100.0%,100.0%,0,0,0.0%,100.0%,0,26,26,0,40.0%,0.0%,52.0%,0.0%,0.0%,8.0%
SAGAPONACK,SUFFOLK,16,100.0%,100.0%,0,0,0.0%,100.0%,0,16,16,0,93.8%,0.0%,6.3%,0.0%,0.0%,0.0%
NEW SUFFOLK,SUFFOLK,15,100.0%,100.0%,0,0,0.0%,100.0%,0,15,15,0,78.6%,0.0%,21.4%,0.0%,0.0%,0.0%
NO GREENBUSH COM,RENSSELAER,14,100.0%,100.0%,0,0,0.0%,100.0%,0,14,14,0,92.9%,0.0%,7.1%,0.0%,0.0%,0.0%
